#     Tempo(s)     Vno'001(V)      Vno'002(V)      IcompV1(A)   
 2.00000000e-09  1.25663706e-05  6.28318531e-06 -6.28318531e-09 
 1.00000000e-04  6.27905195e-01  3.13952598e-01 -3.13952598e-04 
 2.00000000e-04  1.25333234e+00  6.26666168e-01 -6.26666168e-04 
 3.00000000e-04  1.87381315e+00  9.36906573e-01 -9.36906573e-04 
 4.00000000e-04  2.48689887e+00  1.24344944e+00 -1.24344944e-03 
 5.00000000e-04  3.09016994e+00  1.54508497e+00 -1.54508497e-03 
 6.00000000e-04  3.68124553e+00  1.84062276e+00 -1.84062276e-03 
 7.00000000e-04  4.25779292e+00  2.12889646e+00 -2.12889646e-03 
 8.00000000e-04  4.81753674e+00  2.40876837e+00 -2.40876837e-03 
 9.00000000e-04  5.35826795e+00  2.67913397e+00 -2.67913397e-03 
 1.00000000e-03  5.87785252e+00  2.93892626e+00 -2.93892626e-03 
 1.10000000e-03  6.37423990e+00  3.18711995e+00 -3.18711995e-03 
 1.20000000e-03  6.84547106e+00  3.42273553e+00 -3.42273553e-03 
 1.30000000e-03  7.28968627e+00  3.64484314e+00 -3.64484314e-03 
 1.40000000e-03  7.70513243e+00  3.85256621e+00 -3.85256621e-03 
 1.50000000e-03  8.09016994e+00  4.04508497e+00 -4.04508497e-03 
 1.60000000e-03  8.44327926e+00  4.22163963e+00 -4.22163963e-03 
 1.70000000e-03  8.76306680e+00  4.38153340e+00 -4.38153340e-03 
 1.80000000e-03  9.04827052e+00  4.52413526e+00 -4.52413526e-03 
 1.90000000e-03  9.29776486e+00  4.64888243e+00 -4.64888243e-03 
 2.00000000e-03  9.51056516e+00  4.75528258e+00 -4.75528258e-03 
 2.10000000e-03  9.68583161e+00  4.84291581e+00 -4.84291581e-03 
 2.20000000e-03  9.82287251e+00  4.91143625e+00 -4.91143625e-03 
 2.30000000e-03  9.92114701e+00  4.96057351e+00 -4.96057351e-03 
 2.40000000e-03  9.98026728e+00  4.99013364e+00 -4.99013364e-03 
 2.50000000e-03  1.00000000e+01  5.00000000e+00 -5.00000000e-03 
 2.60000000e-03  9.98026728e+00  4.99013364e+00 -4.99013364e-03 
 2.70000000e-03  9.92114701e+00  4.96057351e+00 -4.96057351e-03 
 2.80000000e-03  9.82287251e+00  4.91143625e+00 -4.91143625e-03 
 2.90000000e-03  9.68583161e+00  4.84291581e+00 -4.84291581e-03 
 3.00000000e-03  9.51056516e+00  4.75528258e+00 -4.75528258e-03 
 3.10000000e-03  9.29776486e+00  4.64888243e+00 -4.64888243e-03 
 3.20000000e-03  9.04827052e+00  4.52413526e+00 -4.52413526e-03 
 3.30000000e-03  8.76306680e+00  4.38153340e+00 -4.38153340e-03 
 3.40000000e-03  8.44327925e+00  4.22163963e+00 -4.22163963e-03 
 3.50000000e-03  8.09016994e+00  4.04508497e+00 -4.04508497e-03 
 3.60000000e-03  7.70513243e+00  3.85256621e+00 -3.85256621e-03 
 3.70000000e-03  7.28968627e+00  3.64484314e+00 -3.64484314e-03 
 3.80000000e-03  6.84547106e+00  3.42273553e+00 -3.42273553e-03 
 3.90000000e-03  6.37423990e+00  3.18711995e+00 -3.18711995e-03 
 4.00000000e-03  5.87785252e+00  2.93892626e+00 -2.93892626e-03 
 4.10000000e-03  5.35826795e+00  2.67913397e+00 -2.67913397e-03 
 4.20000000e-03  4.81753674e+00  2.40876837e+00 -2.40876837e-03 
 4.30000000e-03  4.25779292e+00  2.12889646e+00 -2.12889646e-03 
 4.40000000e-03  3.68124553e+00  1.84062276e+00 -1.84062276e-03 
 4.50000000e-03  3.09016994e+00  1.54508497e+00 -1.54508497e-03 
 4.60000000e-03  2.48689887e+00  1.24344944e+00 -1.24344944e-03 
 4.70000000e-03  1.87381315e+00  9.36906573e-01 -9.36906573e-04 
 4.80000000e-03  1.25333234e+00  6.26666168e-01 -6.26666168e-04 
 4.90000000e-03  6.27905195e-01  3.13952598e-01 -3.13952598e-04 
 5.00000000e-03 -1.02161498e-10 -5.10807491e-11  5.10807491e-14 
 5.10000000e-03 -6.27905195e-01 -3.13952598e-01  3.13952598e-04 
 5.20000000e-03 -1.25333234e+00 -6.26666168e-01  6.26666168e-04 
 5.30000000e-03 -1.87381315e+00 -9.36906573e-01  9.36906573e-04 
 5.40000000e-03 -2.48689887e+00 -1.24344944e+00  1.24344944e-03 
 5.50000000e-03 -3.09016994e+00 -1.54508497e+00  1.54508497e-03 
 5.60000000e-03 -3.68124553e+00 -1.84062276e+00  1.84062276e-03 
 5.70000000e-03 -4.25779292e+00 -2.12889646e+00  2.12889646e-03 
 5.80000000e-03 -4.81753674e+00 -2.40876837e+00  2.40876837e-03 
 5.90000000e-03 -5.35826795e+00 -2.67913397e+00  2.67913397e-03 
 6.00000000e-03 -5.87785252e+00 -2.93892626e+00  2.93892626e-03 
 6.10000000e-03 -6.37423990e+00 -3.18711995e+00  3.18711995e-03 
 6.20000000e-03 -6.84547106e+00 -3.42273553e+00  3.42273553e-03 
 6.30000000e-03 -7.28968627e+00 -3.64484314e+00  3.64484314e-03 
 6.40000000e-03 -7.70513243e+00 -3.85256621e+00  3.85256621e-03 
 6.50000000e-03 -8.09016994e+00 -4.04508497e+00  4.04508497e-03 
 6.60000000e-03 -8.44327926e+00 -4.22163963e+00  4.22163963e-03 
 6.70000000e-03 -8.76306680e+00 -4.38153340e+00  4.38153340e-03 
 6.80000000e-03 -9.04827052e+00 -4.52413526e+00  4.52413526e-03 
 6.90000000e-03 -9.29776486e+00 -4.64888243e+00  4.64888243e-03 
 7.00000000e-03 -9.51056516e+00 -4.75528258e+00  4.75528258e-03 
 7.10000000e-03 -9.68583161e+00 -4.84291581e+00  4.84291581e-03 
 7.20000000e-03 -9.82287251e+00 -4.91143625e+00  4.91143625e-03 
 7.30000000e-03 -9.92114701e+00 -4.96057351e+00  4.96057351e-03 
 7.40000000e-03 -9.98026728e+00 -4.99013364e+00  4.99013364e-03 
 7.50000000e-03 -1.00000000e+01 -5.00000000e+00  5.00000000e-03 
 7.60000000e-03 -9.98026728e+00 -4.99013364e+00  4.99013364e-03 
 7.70000000e-03 -9.92114701e+00 -4.96057351e+00  4.96057351e-03 
 7.80000000e-03 -9.82287251e+00 -4.91143625e+00  4.91143625e-03 
 7.90000000e-03 -9.68583161e+00 -4.84291581e+00  4.84291581e-03 
 8.00000000e-03 -9.51056516e+00 -4.75528258e+00  4.75528258e-03 
 8.10000000e-03 -9.29776486e+00 -4.64888243e+00  4.64888243e-03 
 8.20000000e-03 -9.04827052e+00 -4.52413526e+00  4.52413526e-03 
 8.30000000e-03 -8.76306680e+00 -4.38153340e+00  4.38153340e-03 
 8.40000000e-03 -8.44327925e+00 -4.22163963e+00  4.22163963e-03 
 8.50000000e-03 -8.09016994e+00 -4.04508497e+00  4.04508497e-03 
 8.60000000e-03 -7.70513243e+00 -3.85256621e+00  3.85256621e-03 
 8.70000000e-03 -7.28968627e+00 -3.64484314e+00  3.64484314e-03 
 8.80000000e-03 -6.84547106e+00 -3.42273553e+00  3.42273553e-03 
 8.90000000e-03 -6.37423990e+00 -3.18711995e+00  3.18711995e-03 
 9.00000000e-03 -5.87785252e+00 -2.93892626e+00  2.93892626e-03 
 9.10000000e-03 -5.35826795e+00 -2.67913397e+00  2.67913397e-03 
 9.20000000e-03 -4.81753674e+00 -2.40876837e+00  2.40876837e-03 
 9.30000000e-03 -4.25779292e+00 -2.12889646e+00  2.12889646e-03 
 9.40000000e-03 -3.68124553e+00 -1.84062276e+00  1.84062276e-03 
 9.50000000e-03 -3.09016994e+00 -1.54508497e+00  1.54508497e-03 
 9.60000000e-03 -2.48689887e+00 -1.24344944e+00  1.24344944e-03 
 9.70000000e-03 -1.87381315e+00 -9.36906573e-01  9.36906573e-04 
 9.80000000e-03 -1.25333234e+00 -6.26666168e-01  6.26666168e-04 
 9.90000000e-03 -6.27905195e-01 -3.13952598e-01  3.13952598e-04 
 1.00000000e-02 -2.51327146e-02 -1.25663573e-02  1.25663573e-05 
