#     Tempo(s)     Vno'001(V)      Vno'002(V)      Vno'003(V)      IcompL1(A)      IcompV1(A)   
 2.00000000e-09  1.25663706e-05  1.25413380e-05  1.25163054e-05  2.50326108e-11 -2.50326108e-11 
 1.00000000e-04  6.27905195e-01  3.17088353e-01  6.27151156e-03  3.10816842e-04 -3.10816842e-04 
 2.00000000e-04  1.25333234e+00  6.29783721e-01  6.23510603e-03  6.23548615e-04 -6.23548615e-04 
 3.00000000e-04  1.87381315e+00  9.39993620e-01  6.17409339e-03  9.33819526e-04 -9.33819526e-04 
 4.00000000e-04  2.48689887e+00  1.24649379e+00  6.08871442e-03  1.24040508e-03 -1.24040508e-03 
 5.00000000e-04  3.09016994e+00  1.54807462e+00  5.97930608e-03  1.54209532e-03 -1.54209532e-03 
 6.00000000e-04  3.68124553e+00  1.84354591e+00  5.84630015e-03  1.83769961e-03 -1.83769961e-03 
 7.00000000e-04  4.25779292e+00  2.13174157e+00  5.69022155e-03  2.12605135e-03 -2.12605135e-03 
 8.00000000e-04  4.81753674e+00  2.41152421e+00  5.51168624e-03  2.40601253e-03 -2.40601253e-03 
 9.00000000e-04  5.35826795e+00  2.68178967e+00  5.31139882e-03  2.67647828e-03 -2.67647828e-03 
 1.00000000e-03  5.87785252e+00  2.94147134e+00  5.09014974e-03  2.93638119e-03 -2.93638119e-03 
 1.10000000e-03  6.37423990e+00  3.18954435e+00  4.84881216e-03  3.18469554e-03 -3.18469554e-03 
 1.20000000e-03  6.84547106e+00  3.42502970e+00  4.58833854e-03  3.42044136e-03 -3.42044136e-03 
 1.30000000e-03  7.28968627e+00  3.64699802e+00  4.30975684e-03  3.64268826e-03 -3.64268826e-03 
 1.40000000e-03  7.70513243e+00  3.85457330e+00  4.01416650e-03  3.85055913e-03 -3.85055913e-03 
 1.50000000e-03  8.09016994e+00  4.04693634e+00  3.70273407e-03  4.04323360e-03 -4.04323360e-03 
 1.60000000e-03  8.44327926e+00  4.22332797e+00  3.37668865e-03  4.21995128e-03 -4.21995128e-03 
 1.70000000e-03  8.76306680e+00  4.38305206e+00  3.03731698e-03  4.38001474e-03 -4.38001474e-03 
 1.80000000e-03  9.04827052e+00  4.52547824e+00  2.68595841e-03  4.52279228e-03 -4.52279228e-03 
 1.90000000e-03  9.29776486e+00  4.65004443e+00  2.32399958e-03  4.64772043e-03 -4.64772043e-03 
 2.00000000e-03  9.51056516e+00  4.75625902e+00  1.95286900e-03  4.75430615e-03 -4.75430615e-03 
 2.10000000e-03  9.68583161e+00  4.84370282e+00  1.57403133e-03  4.84212879e-03 -4.84212879e-03 
 2.20000000e-03  9.82287251e+00  4.91203074e+00  1.18898167e-03  4.91084176e-03 -4.91084176e-03 
 2.30000000e-03  9.92114701e+00  4.96097313e+00  7.99239654e-04  4.96017389e-03 -4.96017389e-03 
 2.40000000e-03  9.98026728e+00  4.99033681e+00  4.06343401e-04  4.98993047e-03 -4.98993047e-03 
 2.50000000e-03  1.00000000e+01  5.00000592e+00  1.18434956e-05  4.99999408e-03 -4.99999408e-03 
 2.60000000e-03  9.98026728e+00  4.98994229e+00 -3.82703150e-04  4.99032499e-03 -4.99032499e-03 
 2.70000000e-03  9.92114701e+00  4.96018564e+00 -7.75739442e-04  4.96096138e-03 -4.96096138e-03 
 2.80000000e-03  9.82287251e+00  4.91085340e+00 -1.16571424e-03  4.91201911e-03 -4.91201911e-03 
 2.90000000e-03  9.68583161e+00  4.84214026e+00 -1.55108851e-03  4.84369135e-03 -4.84369135e-03 
 3.00000000e-03  9.51056516e+00  4.75431741e+00 -1.93034133e-03  4.75624775e-03 -4.75624775e-03 
 3.10000000e-03  9.29776486e+00  4.64773144e+00 -2.30197598e-03  4.65003342e-03 -4.65003342e-03 
 3.20000000e-03  9.04827052e+00  4.52280300e+00 -2.66452578e-03  4.52546753e-03 -4.52546753e-03 
 3.30000000e-03  8.76306680e+00  4.38002512e+00 -3.01655991e-03  4.38304168e-03 -4.38304168e-03 
 3.40000000e-03  8.44327925e+00  4.21996128e+00 -3.35668906e-03  4.22331797e-03 -4.22331797e-03 
 3.50000000e-03  8.09016994e+00  4.04324319e+00 -3.68357089e-03  4.04692676e-03 -4.04692676e-03 
 3.60000000e-03  7.70513243e+00  3.85056826e+00 -3.99591535e-03  3.85456417e-03 -3.85456417e-03 
 3.70000000e-03  7.28968627e+00  3.64269689e+00 -4.29248976e-03  3.64698938e-03 -3.64698938e-03 
 3.80000000e-03  6.84547106e+00  3.42044947e+00 -4.57212368e-03  3.42502159e-03 -3.42502159e-03 
 3.90000000e-03  6.37423990e+00  3.18470309e+00 -4.83371350e-03  3.18953681e-03 -3.18953681e-03 
 4.00000000e-03  5.87785252e+00  2.93638815e+00 -5.07622688e-03  2.94146437e-03 -2.94146437e-03 
 4.10000000e-03  5.35826795e+00  2.67648462e+00 -5.29870670e-03  2.68178333e-03 -2.68178333e-03 
 4.20000000e-03  4.81753674e+00  2.40601823e+00 -5.50027494e-03  2.41151851e-03 -2.41151851e-03 
 4.30000000e-03  4.25779292e+00  2.12605639e+00 -5.68013612e-03  2.13173653e-03 -2.13173653e-03 
 4.40000000e-03  3.68124553e+00  1.83770397e+00 -5.83758039e-03  1.84354155e-03 -1.84354155e-03 
 4.50000000e-03  3.09016994e+00  1.54209898e+00 -5.97198640e-03  1.54807097e-03 -1.54807097e-03 
 4.60000000e-03  2.48689887e+00  1.24040802e+00 -6.08282371e-03  1.24649085e-03 -1.24649085e-03 
 4.70000000e-03  1.87381315e+00  9.33821745e-01 -6.16965489e-03  9.39991400e-04 -9.39991400e-04 
 4.80000000e-03  1.25333234e+00  6.23550099e-01 -6.23213726e-03  6.29782236e-04 -6.29782236e-04 
 4.90000000e-03  6.27905195e-01  3.10817585e-01 -6.27002424e-03  3.17087610e-04 -3.17087610e-04 
 5.00000000e-03 -1.02161498e-10 -3.14158320e-03 -6.28316629e-03  3.14158309e-06 -3.14158309e-06 
 5.10000000e-03 -6.27905195e-01 -3.17088353e-01 -6.27151156e-03 -3.10816842e-04  3.10816842e-04 
 5.20000000e-03 -1.25333234e+00 -6.29783721e-01 -6.23510603e-03 -6.23548615e-04  6.23548615e-04 
 5.30000000e-03 -1.87381315e+00 -9.39993620e-01 -6.17409339e-03 -9.33819526e-04  9.33819526e-04 
 5.40000000e-03 -2.48689887e+00 -1.24649379e+00 -6.08871442e-03 -1.24040508e-03  1.24040508e-03 
 5.50000000e-03 -3.09016994e+00 -1.54807462e+00 -5.97930608e-03 -1.54209532e-03  1.54209532e-03 
 5.60000000e-03 -3.68124553e+00 -1.84354591e+00 -5.84630015e-03 -1.83769961e-03  1.83769961e-03 
 5.70000000e-03 -4.25779292e+00 -2.13174157e+00 -5.69022155e-03 -2.12605135e-03  2.12605135e-03 
 5.80000000e-03 -4.81753674e+00 -2.41152421e+00 -5.51168624e-03 -2.40601253e-03  2.40601253e-03 
 5.90000000e-03 -5.35826795e+00 -2.68178967e+00 -5.31139882e-03 -2.67647828e-03  2.67647828e-03 
 6.00000000e-03 -5.87785252e+00 -2.94147134e+00 -5.09014974e-03 -2.93638119e-03  2.93638119e-03 
 6.10000000e-03 -6.37423990e+00 -3.18954435e+00 -4.84881216e-03 -3.18469554e-03  3.18469554e-03 
 6.20000000e-03 -6.84547106e+00 -3.42502970e+00 -4.58833854e-03 -3.42044136e-03  3.42044136e-03 
 6.30000000e-03 -7.28968627e+00 -3.64699802e+00 -4.30975684e-03 -3.64268826e-03  3.64268826e-03 
 6.40000000e-03 -7.70513243e+00 -3.85457330e+00 -4.01416650e-03 -3.85055913e-03  3.85055913e-03 
 6.50000000e-03 -8.09016994e+00 -4.04693634e+00 -3.70273407e-03 -4.04323360e-03  4.04323360e-03 
 6.60000000e-03 -8.44327926e+00 -4.22332797e+00 -3.37668865e-03 -4.21995128e-03  4.21995128e-03 
 6.70000000e-03 -8.76306680e+00 -4.38305206e+00 -3.03731698e-03 -4.38001474e-03  4.38001474e-03 
 6.80000000e-03 -9.04827052e+00 -4.52547824e+00 -2.68595841e-03 -4.52279228e-03  4.52279228e-03 
 6.90000000e-03 -9.29776486e+00 -4.65004443e+00 -2.32399958e-03 -4.64772043e-03  4.64772043e-03 
 7.00000000e-03 -9.51056516e+00 -4.75625902e+00 -1.95286900e-03 -4.75430615e-03  4.75430615e-03 
 7.10000000e-03 -9.68583161e+00 -4.84370282e+00 -1.57403133e-03 -4.84212879e-03  4.84212879e-03 
 7.20000000e-03 -9.82287251e+00 -4.91203074e+00 -1.18898167e-03 -4.91084176e-03  4.91084176e-03 
 7.30000000e-03 -9.92114701e+00 -4.96097313e+00 -7.99239654e-04 -4.96017389e-03  4.96017389e-03 
 7.40000000e-03 -9.98026728e+00 -4.99033681e+00 -4.06343401e-04 -4.98993047e-03  4.98993047e-03 
 7.50000000e-03 -1.00000000e+01 -5.00000592e+00 -1.18434956e-05 -4.99999408e-03  4.99999408e-03 
 7.60000000e-03 -9.98026728e+00 -4.98994229e+00  3.82703151e-04 -4.99032499e-03  4.99032499e-03 
 7.70000000e-03 -9.92114701e+00 -4.96018564e+00  7.75739442e-04 -4.96096138e-03  4.96096138e-03 
 7.80000000e-03 -9.82287251e+00 -4.91085340e+00  1.16571424e-03 -4.91201911e-03  4.91201911e-03 
 7.90000000e-03 -9.68583161e+00 -4.84214026e+00  1.55108851e-03 -4.84369135e-03  4.84369135e-03 
 8.00000000e-03 -9.51056516e+00 -4.75431741e+00  1.93034133e-03 -4.75624775e-03  4.75624775e-03 
 8.10000000e-03 -9.29776486e+00 -4.64773144e+00  2.30197598e-03 -4.65003342e-03  4.65003342e-03 
