#     Time(s)      Vno'001(V)      Vno'002(V)      Vno'003(V)      IcompV1(A)   
 2.00000000e-09  1.25663706e-05  6.28319159e-06  1.25663580e-11 -6.28317902e-09 
 1.00000000e-04  6.27905195e-01  3.16658123e-01  5.41105067e-03 -3.11247072e-04 
 2.00000000e-04  1.25333234e+00  6.37211007e-01  2.10896779e-02 -6.16121329e-04 
 3.00000000e-04  1.87381315e+00  9.60308573e-01  4.68040005e-02 -9.13504573e-04 
 4.00000000e-04  2.48689887e+00  1.28459211e+00  8.22853397e-02 -1.20230677e-03 
 5.00000000e-04  3.09016994e+00  1.60869959e+00  1.27229234e-01 -1.48147035e-03 
 6.00000000e-04  3.68124553e+00  1.93127106e+00  1.81296593e-01 -1.74997447e-03 
 7.00000000e-04  4.25779292e+00  2.25095396e+00  2.44114995e-01 -2.00683896e-03 
 8.00000000e-04  4.81753674e+00  2.56640842e+00  3.15280107e-01 -2.25112832e-03 
 9.00000000e-04  5.35826795e+00  2.87631260e+00  3.94357240e-01 -2.48195535e-03 
 1.00000000e-03  5.87785252e+00  3.17936777e+00  4.80883024e-01 -2.69848475e-03 
 1.10000000e-03  6.37423990e+00  3.47430354e+00  5.74367191e-01 -2.89993635e-03 
 1.20000000e-03  6.84547106e+00  3.75988276e+00  6.74294469e-01 -3.08558830e-03 
 1.30000000e-03  7.28968627e+00  4.03490643e+00  7.80126577e-01 -3.25477985e-03 
 1.40000000e-03  7.70513243e+00  4.29821837e+00  8.91304307e-01 -3.40691406e-03 
 1.50000000e-03  8.09016994e+00  4.54870982e+00  1.00724970e+00 -3.54146012e-03 
 1.60000000e-03  8.44327926e+00  4.78532376e+00  1.12736826e+00 -3.65795550e-03 
 1.70000000e-03  8.76306680e+00  5.00705906e+00  1.25105131e+00 -3.75600774e-03 
 1.80000000e-03  9.04827052e+00  5.21297442e+00  1.37767832e+00 -3.83529610e-03 
 1.90000000e-03  9.29776486e+00  5.40219209e+00  1.50661933e+00 -3.89557277e-03 
 2.00000000e-03  9.51056516e+00  5.57390127e+00  1.63723738e+00 -3.93666389e-03 
 2.10000000e-03  9.68583161e+00  5.72736133e+00  1.76889104e+00 -3.95847028e-03 
 2.20000000e-03  9.82287251e+00  5.86190468e+00  1.90093686e+00 -3.96096782e-03 
 2.30000000e-03  9.92114701e+00  5.97693945e+00  2.03273188e+00 -3.94420757e-03 
 2.40000000e-03  9.98026728e+00  6.07195172e+00  2.16363616e+00 -3.90831556e-03 
 2.50000000e-03  1.00000000e+01  6.14650762e+00  2.29301523e+00 -3.85349238e-03 
 2.60000000e-03  9.98026728e+00  6.20025495e+00  2.42024262e+00 -3.78001233e-03 
 2.70000000e-03  9.92114701e+00  6.23292463e+00  2.54470224e+00 -3.68822239e-03 
 2.80000000e-03  9.82287251e+00  6.24433166e+00  2.66579082e+00 -3.57854084e-03 
 2.90000000e-03  9.68583161e+00  6.23437592e+00  2.78292023e+00 -3.45145569e-03 
 3.00000000e-03  9.51056516e+00  6.20304249e+00  2.89551981e+00 -3.30752267e-03 
 3.10000000e-03  9.29776486e+00  6.15040171e+00  3.00303856e+00 -3.14736315e-03 
 3.20000000e-03  9.04827052e+00  6.07660890e+00  3.10494727e+00 -2.97166163e-03 
 3.30000000e-03  8.76306680e+00  5.98190372e+00  3.20074063e+00 -2.78116308e-03 
 3.40000000e-03  8.44327925e+00  5.86660921e+00  3.28993917e+00 -2.57667004e-03 
